word;trans
arent;aren't
cant;can't
couldnt;couldn't
didnt;didn't
doesnt;doesn't
dont;don't
hadnt;hadn't
hasnt;hasn't
havent;haven't
hed;he'd
hes;he's
id;I'd
im;I'm
i;I
ive;I've
isnt;isn't
its;it's
lets;let's
mightnt;mightn't
mustnt;mustn't
shant;shan't
shed;she'd
shes;she's
shouldnt;shouldn't
thats;that's
theres;there's
theyd;they'd
theyll;they'll
theyre;they're
wed;we'd
weve;we've
werent;weren't
whatll;what'll
whatre;what're
whats;what's
whatve;what've
wheres;where's
whod;who'd
who's;whos
whove;who've
wont;won't
wouldnt;wouldn't
youd;you'd
youll;you'll
youre;you're
youve;you've
